country,year,sex,age,suicides_no,population,suicides_100k_pop
Antigua and Barbuda,1992,female,55-74 years,0,3648,0.0
Antigua and Barbuda,1992,female,75+ years,0,1339,0.0
Antigua and Barbuda,1992,male,15-24 years,0,6221,0.0
Antigua and Barbuda,1992,male,25-34 years,0,6409,0.0
Antigua and Barbuda,1992,male,35-54 years,0,6497,0.0
Antigua and Barbuda,1992,male,5-14 years,0,7059,0.0
Antigua and Barbuda,1992,male,55-74 years,0,2851,0.0
Antigua and Barbuda,1992,male,75+ years,0,853,0.0
Antigua and Barbuda,1993,female,15-24 years,0,6182,0.0
Antigua and Barbuda,1993,female,25-34 years,0,6914,0.0
Antigua and Barbuda,1993,female,35-54 years,0,6917,0.0
Antigua and Barbuda,1993,female,5-14 years,0,7529,0.0
Antigua and Barbuda,1993,female,55-74 years,0,3662,0.0
Antigua and Barbuda,1993,female,75+ years,0,1386,0.0
Antigua and Barbuda,1993,male,15-24 years,0,6069,0.0
Antigua and Barbuda,1993,male,25-34 years,1,6668,14.997000599880023
Antigua and Barbuda,1993,male,35-54 years,0,6915,0.0
Antigua and Barbuda,1993,male,5-14 years,0,7298,0.0
Antigua and Barbuda,1993,male,55-74 years,0,2879,0.0
Antigua and Barbuda,1993,male,75+ years,0,896,0.0
Antigua and Barbuda,1994,female,15-24 years,0,6083,0.0
Antigua and Barbuda,1994,female,25-34 years,0,7151,0.0
Antigua and Barbuda,1994,female,35-54 years,0,7357,0.0
Antigua and Barbuda,1994,female,5-14 years,0,7722,0.0
Antigua and Barbuda,1994,female,55-74 years,0,3715,0.0
Antigua and Barbuda,1994,female,75+ years,0,1437,0.0
Antigua and Barbuda,1994,male,15-24 years,0,5976,0.0
Antigua and Barbuda,1994,male,25-34 years,0,6886,0.0
Antigua and Barbuda,1994,male,35-54 years,0,7359,0.0
Antigua and Barbuda,1994,male,5-14 years,0,7494,0.0
Antigua and Barbuda,1994,male,55-74 years,0,2935,0.0
Antigua and Barbuda,1994,male,75+ years,0,929,0.0
Antigua and Barbuda,1995,female,15-24 years,0,6099,0.0
Antigua and Barbuda,1995,female,25-34 years,0,7333,0.0
Antigua and Barbuda,1995,female,35-54 years,0,7851,0.0
Antigua and Barbuda,1995,female,5-14 years,0,7885,0.0
Antigua and Barbuda,1995,female,55-74 years,0,3808,0.0
Antigua and Barbuda,1995,female,75+ years,0,1488,0.0
Antigua and Barbuda,1995,male,15-24 years,0,5953,0.0
Antigua and Barbuda,1995,male,25-34 years,0,7023,0.0
Antigua and Barbuda,1995,male,35-54 years,0,7809,0.0
Antigua and Barbuda,1995,male,5-14 years,0,7632,0.0
Antigua and Barbuda,1995,male,55-74 years,0,3021,0.0
Antigua and Barbuda,1995,male,75+ years,0,944,0.0
Antigua and Barbuda,1998,female,15-24 years,0,6529,0.0
Antigua and Barbuda,1998,female,25-34 years,0,8332,0.0
Antigua and Barbuda,1998,female,35-54 years,0,9615,0.0
Antigua and Barbuda,1998,female,5-14 years,0,8183,0.0
Antigua and Barbuda,1998,female,55-74 years,0,3921,0.0
Antigua and Barbuda,1998,female,75+ years,0,1476,0.0
Antigua and Barbuda,1998,male,15-24 years,0,5916,0.0
Antigua and Barbuda,1998,male,25-34 years,0,7294,0.0
Antigua and Barbuda,1998,male,35-54 years,0,9086,0.0
Antigua and Barbuda,1998,male,5-14 years,0,7706,0.0
Antigua and Barbuda,1998,male,55-74 years,0,3213,0.0
Antigua and Barbuda,1998,male,75+ years,0,954,0.0
Antigua and Barbuda,1999,female,15-24 years,0,6589,0.0
Antigua and Barbuda,1999,female,25-34 years,0,8526,0.0
Antigua and Barbuda,1999,female,35-54 years,0,10311,0.0
Antigua and Barbuda,1999,female,5-14 years,0,8314,0.0
Antigua and Barbuda,1999,female,55-74 years,0,3968,0.0
Antigua and Barbuda,1999,female,75+ years,0,1451,0.0
Antigua and Barbuda,1999,male,15-24 years,0,5845,0.0
Antigua and Barbuda,1999,male,25-34 years,0,7263,0.0
Antigua and Barbuda,1999,male,35-54 years,0,9537,0.0
Antigua and Barbuda,1999,male,5-14 years,0,7805,0.0
Antigua and Barbuda,1999,male,55-74 years,0,3276,0.0
Antigua and Barbuda,1999,male,75+ years,0,947,0.0
Antigua and Barbuda,2000,female,15-24 years,0,6616,0.0
Antigua and Barbuda,2000,female,25-34 years,0,8595,0.0
Antigua and Barbuda,2000,female,35-54 years,0,11040,0.0
Antigua and Barbuda,2000,female,5-14 years,0,8439,0.0
Antigua and Barbuda,2000,female,55-74 years,0,3986,0.0
Antigua and Barbuda,2000,female,75+ years,0,1413,0.0
Antigua and Barbuda,2000,male,15-24 years,0,5783,0.0
Antigua and Barbuda,2000,male,25-34 years,0,7177,0.0
Antigua and Barbuda,2000,male,35-54 years,1,10033,9.967108541812019
Antigua and Barbuda,2000,male,5-14 years,0,7973,0.0
Antigua and Barbuda,2000,male,55-74 years,1,3333,30.003000300030006
Antigua and Barbuda,2000,male,75+ years,0,938,0.0
Antigua and Barbuda,2001,female,15-24 years,0,6902,0.0
Antigua and Barbuda,2001,female,25-34 years,0,8425,0.0
Antigua and Barbuda,2001,female,35-54 years,0,11402,0.0
Antigua and Barbuda,2001,female,5-14 years,0,8428,0.0
Antigua and Barbuda,2001,female,55-74 years,0,4037,0.0
Antigua and Barbuda,2001,female,75+ years,0,1487,0.0
Antigua and Barbuda,2001,male,15-24 years,0,6084,0.0
